时间戳,上导摆度X,上导摆度Y,下导摆度X,下导摆度Y,水导摆度X,水导摆度Y,上机架x振动,上机架y振动,下机架x振动,下机架y振动,顶盖x,顶盖y,有功功率,无功功率,励磁电流,励磁电压,上导轴承出油边.最高温度,下导轴瓦进油边.最高温度,水导瓦温.最高温度,导叶开度,水头
1516408200,72.092896,69.25015,121.31253,120.15258,88.40851,89.43732,5.856,4.288,3.263,2.5,8.45,8.356,368.31128,50.134953,1496.4124,255.12466,43.474976,55.883186,47.349865,80.97786,477.7299
1516408260,69.39625,68.5001,122.3539,120.08434,92.89569,91.625984,5.504,4.25,3.196,2.412,8.554,8.45,371.5595,48.28301,1500.5768,219.43445,43.735374,56.577675,46.73325,80.63157,477.64987
1516408320,70.11296,68.50063,120.52392,120.06268,92.36327,92.298935,5.555,4.472,3.615,2.13,9.033,10.185,376.7127,51.233383,1537.9001,247.24054,44.059975,56.92655,47.559994,80.4159,477.70996
1516408380,68.281494,67.56154,115.49981,115.28018,92.00058,91.71828,5.394,4.256,3.388,2.637,8.725,9.763,376.82428,50.34559,1513.2432,272.65778,44.377872,57.312466,47.65002,81.60327,477.61002
1516408440,67.5635,67.87616,115.064354,116.68895,90.874626,90.56066,5.412,4.4,3.438,2.7,8.525,9.125,372.9913,47.356827,1492.9131,302.9355,44.725002,57.416523,47.9999,81.37549,477.62994
1516408500,68.10445,67.37524,117.08316,117.56182,90.00111,92.10591,5.496,4.421,3.742,2.437,9.425,9.766,374.41858,49.678104,1501.0114,301.16745,44.95009,57.794117,48.012432,80.57758,477.5901
1516408560,66.81351,68.31159,115.875336,115.25176,91.31306,92.939186,6.237,5.437,4.387,3.1,9.838,10.925,376.53372,49.130974,1508.9058,257.12555,45.141598,58.09989,48.90016,80.95679,477.2199
1516408620,68.10445,67.14602,116.457275,115.021706,92.31279,92.854805,6.425,4.679,3.712,2.733,8.733,9.517,375.52625,45.671906,1501.7832,260.56207,45.45005,58.14585,48.466534,81.39392,477.52002
1516409100,65.8741,65.99902,112.0641,109.49895,92.49879,88.43528,5.512,4.25,3.525,3.187,7.937,8.775,371.72223,45.106365,1493.2324,267.68613,46.733418,59.467415,50.69988,80.786934,477.2299
1516409160,64.0004,65.91672,110.58328,109.91576,90.833115,91.74905,5.712,4.333,3.617,2.933,8.567,9.313,375.2484,46.176624,1499.6898,282.81366,46.86665,59.576843,50.53319,81.212654,477.1701
1516409220,64.93725,65.37597,109.31155,109.646454,93.93694,93.728516,6.238,4.504,3.758,2.783,8.408,9.6,375.67642,47.368397,1499.0245,289.7907,47.008472,59.560818,50.980106,81.226265,477.26007
1516409280,65.65038,64.22491,112.60182,109.07429,90.749084,94.27348,5.334,4.725,3.445,2.768,8.845,9.643,374.49994,46.035088,1497.0377,307.001,47.062206,59.685825,50.560173,81.21828,477.20996
1516409340,63.9364,65.49987,113.374466,108.75193,92.93722,93.31364,5.463,4.9,3.325,2.55,8.625,9.8,374.22778,47.375145,1498.9003,296.8718,47.1,59.678055,51.199936,81.22539,477.19998
1516409400,62.938118,64.81221,109.06386,110.37587,93.37563,95.122574,5.8,4.488,3.337,2.85,9.2,9.75,370.5515,48.286076,1508.9058,246.06306,47.266098,59.599876,50.69988,81.237236,477.11002
1516409460,65.24953,65.37597,109.56323,108.75058,92.12347,95.77303,6.467,5.6,4.529,3.821,10.446,11.992,365.8668,45.65548,1490.5714,247.39697,47.373787,59.734806,50.333157,83.260506,477.0599
1516409520,65.32824,65.37508,108.68633,108.68765,94.57756,95.6869,6.169,5.097,4.259,3.422,9.453,11.875,372.08978,44.74385,1476.9138,299.62555,47.47029,59.89797,50.749905,80.8689,477.0599
1516409580,63.499207,63.85001,109.89961,108.237144,91.14964,93.44865,5.517,4.315,3.45,2.31,7.408,10.167,351.70016,42.80994,1438.7722,222.63585,47.553913,59.839893,50.54004,73.225075,477.14987
1516410000,62.437267,63.58291,108.5192,107.54209,92.91728,92.397736,5.383,4.429,3.387,3.229,9.263,9.288,373.8452,45.19317,1490.8995,304.52036,47.872158,60.310093,51.533306,82.3586,476.68005
1516410060,63.625828,64.66618,107.53177,106.93718,92.164986,94.41764,5.909,4.433,3.65,3.196,9.604,9.987,373.68054,44.857784,1515.7888,292.31384,47.802364,60.495243,51.266636,82.51001,476.5599
1516410120,63.063545,63.625393,109.49931,107.18889,94.18771,94.74814,6.138,5.038,3.563,3,9.938,12.125,374.77887,44.01141,1491.5825,323.37833,47.977882,60.454037,50.999832,82.26818,476.52005
1516410180,62.78198,63.90683,108.750244,107.469025,94.75069,95.468025,5.637,4.612,3.562,2.969,10.875,11.731,374.99103,39.876976,1321.5842,288.40707,47.920082,60.41283,51.012363,82.328094,476.54996
