时间戳,上导摆度X,上导摆度Y,下导摆度X,下导摆度Y,水导摆度X,水导摆度Y,上机架x振动,上机架y振动,下机架x振动,下机架y振动,顶盖x,顶盖y,有功功率,无功功率,励磁电流,励磁电压,导叶开度,水头
1516378200,68.87514,74.0832,121.499306,115.333015,98.520775,99.89501,5.646,4.121,3.104,2.146,11.775,8.408,-381.65878,82.5315,1603.2262,230.68623,78.30672,460.53998
1516378260,68.500084,72.52109,118.45824,114.74935,100.41718,100.52076,6.004,4.496,3.162,2.146,12.264,10.196,-381.59357,86.60587,1612.8936,235.83253,79.968704,460.51004
1516378320,66.843834,71.87482,120.15712,113.87482,100.90643,101.00011,5.144,3.781,2.932,2.221,10.956,9.056,-381.49573,88.347885,1610.5693,310.2489,80.27814,460.47998
1516378380,67.99994,71.37488,115.27034,114.02041,99.31257,95.81202,5.592,4.167,3.108,1.933,10.971,9.479,-384.81598,86.67095,1599.6815,263.1238,79.9399,460.55
1516378440,67.18767,71.12512,116.12408,111.62506,99.438675,102.43818,5.55,4.413,2.937,2.062,11.625,8.95,-381.77524,85.67822,1607.2346,318.00034,79.92509,460.57
1516378500,68.12479,72.49991,117.31229,111.12533,99.998795,104.68766,5.7,4.462,3.337,2.562,11.612,9.363,-383.15762,84.994354,1613.2236,228.24887,80.1621,460.55
1516378560,67.58344,71.54185,113.62518,110.583626,100.83459,103.16659,5.967,4.254,3.096,2.242,11.275,8.946,-382.85443,85.25081,1630.8921,290.70908,80.170334,460.60995
1516378620,68.374985,70.96874,113.56288,108.40683,101.90645,102.75016,6.175,4.237,3.138,2.356,11.488,8.819,-384.3118,86.76392,1605.2305,291.4065,79.9973,460.60995
1516378680,67.18767,71.12512,113.999054,106.87567,103.43873,104.312744,6.087,3.9,3.087,2.45,11.187,9.512,-383.67035,86.99635,1614.2375,257.06293,79.988045,460.65997
1516378740,66.875046,70.437454,114.0628,108.833275,101.91672,101.79101,5.967,3.933,3.046,2.129,11.042,9.475,-380.35443,85.11272,1606.0085,258.02014,80.12713,460.65997
1516378800,66.90639,71.37515,110.0004,106.250046,102.68799,101.24916,6.087,4,3.237,2.45,11.175,9.113,-383.44934,85.33629,1608.4019,326.43683,80.71884,460.68997
1516378860,64.37482,70.199905,111.62479,103.74945,102.87567,101.000114,5.5,4.375,3.137,2.162,11.187,9.088,-382.616,86.99635,1594.2428,308.25092,80.01273,460.64
1516378920,67.37494,71.87523,110.31195,107.12554,101.74956,96.24942,6.237,4.238,3.15,2.462,10.4,8.987,-382.44684,89.97653,1623.9049,314.87622,80.00039,460.74
1516378980,66.56217,70.875084,110.750275,105.50044,104.626434,101.74994,5.9,4.35,3.425,2.362,10.913,8.787,-381.98486,86.99635,1553.5693,274.50153,80.018906,460.75
1516379040,66.93729,71.45334,111.438385,103.10977,105.828064,106.07819,6.069,4.597,3.303,2.284,10.838,8.931,-384.80508,89.13894,1622.9854,316.62512,80.017365,460.95996
1516379100,66.8753,70.625046,108.31155,101.436745,102.6264,104.12529,6.2,4.4,3.587,2.462,11.663,9.175,-381.75912,86.86412,1609.2389,229.75034,80.06211,460.8
1516379160,65.63749,70.999855,107.23765,102.74999,105.20005,104.51252,5.592,3.86,3.35,2.35,10.94,9.08,-381.84512,86.38623,1616.1003,298.4752,80.0473,460.57
1516379220,66.18763,70.999695,106.43791,102.00039,101.06333,101.87581,5.8,4.175,3.237,2.413,11.588,8.562,-382.4507,86.43317,1611.243,342.31335,80.043594,460.97998
