ds,y
2020-08-03,0.00307925
2020-08-04,0.00888503
2020-08-05,-0.00434663
2020-08-06,0.00102036
2020-08-07,0.00973268
2020-08-08,0.0138529
2020-08-09,0.0177671
2020-08-10,0.0185792
2020-08-11,0.0200824
2020-08-12,0.00615673
2020-08-13,-0.00338865
2020-08-14,0.00404266
2020-08-15,0.00569014
2020-08-16,-0.00141152
2020-08-17,0.000215459
2020-08-18,0.0311296
2020-08-19,-0.00362074
2020-08-20,0.000994467
2020-08-21,0.00844856
2020-08-22,0.0014929
2020-08-23,-0.000229534
2020-08-24,0.0246414
2020-08-25,0.00212364
2020-08-26,0.00129758
2020-08-27,0.00777889
2020-08-28,-0.00681643
2020-08-29,0.0281396
2020-08-30,0.010295
2020-08-31,0.035803
2020-09-01,0.00516245
2020-09-02,0.044943
2020-09-03,0.011451
2020-09-04,0.0235457
2020-09-05,0.00686319
2020-09-06,0.0232928
2020-09-07,-0.00152249
2020-09-08,0.00846332
2020-09-09,-0.00695993
2020-09-10,-0.00850058
2020-09-11,0.0137111
2020-09-12,0.0102048
2020-09-13,0.0261647
2020-09-14,0.00967845
2020-09-15,0.00579238
2020-09-16,-0.000422379
2020-09-17,0.000438713
2020-09-18,0.0137144
2020-09-19,-0.00932946
2020-09-20,0.0217639
2020-09-21,0.00210116
2020-09-22,-0.0107678
2020-09-23,0.00847535
2020-09-24,-0.0185201
2020-09-25,-0.0103915
2020-09-26,0.00910506
2020-09-27,-0.000209816
2020-09-28,0.0140654
2020-09-29,-8.24638e-06
2020-09-30,0.0208338
2020-10-01,-0.00791508
2020-10-02,0.00176958
2020-10-03,0.00489642
2020-10-04,0.0126382
2020-10-05,0.0178987
2020-10-06,0.00347203
2020-10-07,-0.0017647
2020-10-08,0.011359
2020-10-09,0.001799
2020-10-10,0.0109554
2020-10-11,-0.00834269
2020-10-12,0.0158573
2020-10-13,0.0130421
2020-10-14,-0.000117307
2020-10-15,-0.00134996
2020-10-16,-0.00137202
2020-10-17,0.00289991
2020-10-18,-0.00100855
2020-10-19,0.00670822
2020-10-20,0.000804662
2020-10-21,-0.00969274
2020-10-22,0.00708853
2020-10-23,0.0165924
2020-10-24,0.00511908
2020-10-25,-0.00135531
2020-10-26,-0.00259408
2020-10-27,-0.000203319
2020-10-28,0.00353918
2020-10-29,0.00541014
2020-10-30,0.00621236
2020-10-31,0.001684
2020-11-01,-0.00663989
2020-11-02,-0.0065342
2020-11-03,-0.00608033
2020-11-04,0.00355543
2020-11-05,-0.0132018
2020-11-06,0.00415567
2020-11-07,-0.00431937
